phrasal verb;definition;Level;Lesson Number;Lesson Name
pull through;manage to stay alive after you have been very ill or very badly injured;B2;;
pull through;succeed in a very difficult situation or help someone do this;B2;;
push around;keep telling someone what to do in an unfair or unpleasant way;B2;;
put across/over;explain an idea belief etc in a way that is easy to understand;B2;;
put down to;if you put something down to a particular reason you think it has happened for that reason;B2;;
put in;make an official request claim offer etc;B2;;
put in;spend a particular amount of time doing something or make a particular amount of effort in order to do something;B2;;
put together;choose people or things to form a team or group;B2;;
put together;produce or organise something using many different things;B2;;
puzzle out;solve a confusing or complicated problem by thinking carefully about it;B2;;
run down;if an organisation or area is run down its size importance and activity is reduced;B2;;
scrape through;succeed in doing something but not in a very impressive way;B2;;
seek out;find someone or something by looking for them in a determined way;B2;;
set out;start doing or working on something in order to achieve an aim;B2;;
shout down;make it difficult to hear what someone says by shouting while they are speaking;B2;;
shrivelled up;become smaller and thinner than usual and not look fresh and healthy;B2;;
shrivelled up;become weaker or smaller in amount;B2;;
single out;choose one person from a group for special attention;B2;;
size up;think carefully and form an opinion about a person or a situation;B2;;
slip away;leave secretly;B2;;
slip up;make a careless mistake;B2;;
snow under;if you are snowed under you have too much of something to deal with;B2;;
sound out;try to find out someone's opinions ideas feelings etc by talking to them;B2;;
speak out;state your opinion firmly and publicly about something especially in order to protest against or defend something;B2;;
spread out;if people in a group spread out they move away from one another so that they cover a large area;B2;;
spring up;appear or be produced suddenly and quickly;B2;;
stand out;be much more impressive or important than others;B2;;
stand up to;not allow yourself to be treated badly especially by someone in authority;B2;;
step aside;leave a job so that someone else can take over;B2;;
store up;do something that will cause problems in the future;B2;;
store up;keep a lot of something so that you can use it later;B2;;
summon up;manage to produce a quality or a reaction that helps you deal with a difficult situation;B2;;
swot up (on);study something very hard especially for an examination;B2;;
take apart;separate an object into pieces;B2;;
take down;separate a large structure into pieces;B2;;
take in;accept something as real or true;B2;;
take in;include something;B2;;
take in;understand and remember something that you hear or read;B2;;
take off;become successful or popular very fast;B2;;
